o_zone_id,d_zone_id,volume
1,2,12
1,3,3
1,4,5
1,5,1
1,6,1
1,7,11
1,8,1
1,9,6
1,10,3
1,12,1
1,13,3
1,14,2
1,15,3
1,16,15
1,17,1
1,18,2
1,19,1
1,20,2
1,22,3
1,24,3
1,26,1
1,30,2
1,32,8
1,36,1
1,40,13
1,41,21
1,44,3
1,46,2
1,47,13
1,48,35
1,49,68
1,50,7
1,51,7
1,52,1
1,55,1
1,57,12
1,58,1
1,60,3
1,63,1
1,64,14
1,65,1
1,67,62
1,68,2
1,69,2
1,70,2
1,72,1
1,77,1
1,79,1
1,80,10
1,81,1
1,83,2
1,86,1
1,88,1
1,91,1
1,101,1
1,102,6
1,103,1
1,105,2
1,106,1
1,107,2
1,108,2
1,109,2
1,112,1
1,113,1
1,119,16
1,120,1
1,121,5
1,122,1
1,123,1
1,127,2
1,128,1
1,129,2
1,133,3
1,135,3
1,137,1
1,139,1
1,140,4
1,141,1
1,143,5
1,145,3
1,149,1
1,154,2
1,155,1
1,156,4
1,164,15
1,165,1
1,167,1
1,169,1
1,171,1
1,175,3
1,179,4
1,182,2
1,184,4
1,186,1
1,192,5
1,193,1
1,194,1
1,195,2
1,196,8
1,198,1
1,200,3
1,203,2
1,210,3
1,211,1
1,213,1
1,218,1
1,219,1
1,220,4
1,221,2
1,224,1
1,227,1
1,228,3
1,233,2
1,234,2
2,1,7
2,3,7
2,4,20
2,5,3
2,6,1
2,7,30
2,9,7
2,10,8
2,11,1
2,12,2
2,13,4
2,16,13
2,17,2
2,18,2
2,19,4
2,21,3
2,22,4
2,23,1
2,24,2
2,26,2
2,28,1
2,29,1
2,30,2
2,32,24
2,33,1
2,34,4
2,36,5
2,37,1
2,39,1
2,40,7
2,41,41
2,42,7
2,43,2
2,44,6
2,45,1
2,46,3
2,47,30
2,48,72
2,49,123
2,50,14
2,51,14
2,56,6
2,57,25
2,58,4
2,59,1
2,60,10
2,61,1
2,63,1
2,64,17
2,65,2
2,67,97
2,68,1
2,69,2
2,70,6
2,71,1
2,72,1
2,74,1
2,75,1
2,76,1
2,77,2
2,78,1
2,79,3
2,80,11
2,81,4
2,82,2
2,83,2
2,84,2
2,85,1
2,86,1
2,96,1
2,97,1
2,98,1
2,99,1
2,100,1
2,101,1
2,102,12
2,104,1
2,105,1
2,106,2
2,107,2
2,108,1
2,109,4
2,110,1
2,111,1
2,113,4
2,116,2
2,119,15
2,121,4
2,124,2
2,126,1
2,128,6
2,131,1
2,132,2
2,133,16
2,134,1
2,135,8
2,137,6
2,138,4
2,139,1
2,140,3
2,141,1
2,143,8
2,145,18
2,147,3
2,148,3
2,149,2
2,154,1
2,160,4
2,164,12
2,165,3
2,167,2
2,173,2
2,175,3
2,178,1
2,179,2
2,182,7
2,184,5
2,185,1
2,188,1
2,189,1
2,190,1
2,192,1
2,194,5
2,195,2
2,200,3
2,201,1
2,203,3
2,205,1
2,206,1
2,210,5
2,214,2
2,219,1
2,220,9
2,224,3
2,225,2
2,231,3
2,233,6
2,234,1
3,1,1
3,2,9
3,4,2
3,5,3
3,6,3
3,7,18
3,9,6
3,10,2
3,12,1
3,13,6
3,14,1
3,15,1
3,16,16
3,18,4
3,19,1
3,22,11
3,23,1
3,24,1
3,25,1
3,26,5
3,27,1
3,28,4
3,30,2
3,32,45
3,33,7
3,34,4
3,36,1
3,39,1
3,40,16
3,41,51
3,43,1
3,45,2
3,46,6
3,47,11
3,48,43
3,49,19
3,50,5
3,51,4
3,52,8
3,55,1
3,57,17
3,58,7
3,59,2
3,60,4
3,64,13
3,65,1
3,67,69
3,68,4
3,69,4
3,70,24
3,72,2
3,73,4
3,77,3
3,78,1
3,79,10
3,80,29
3,81,15
3,82,14
3,83,1
3,84,1
3,86,6
3,87,2
3,90,1
3,92,1
3,99,1
3,101,2
3,104,2
3,105,6
3,108,4
3,109,3
3,110,3
3,111,3
3,112,3
3,113,4
3,117,1
3,119,1
3,121,2
3,122,1
3,124,6
3,126,1
3,127,1
3,128,1
3,129,1
3,131,3
3,133,4
3,134,4
3,135,14
3,137,10
3,138,1
3,139,2
3,140,3
3,143,10
3,144,1
3,145,3
3,146,1
3,147,2
3,149,7
3,150,2
3,151,1
3,152,2
3,153,1
3,154,4
3,156,2
3,159,11
3,160,2
3,163,1
3,164,14
3,165,2
3,167,1
3,172,3
3,173,2
3,174,1
3,175,3
3,176,1
3,178,1
3,179,5
3,182,6
3,183,4
3,184,8
3,185,1
3,187,1
3,188,2
