zone_id,total_volume,number_of_origins,avg_distance_mile,avg_travel_time_min,google_maps_link
1,149,69,4.13016,10.9601,"https://www.google.com/maps/search/?api=1&query=42.996472,-87.888534"
2,711,172,4.22419,11.9003,"https://www.google.com/maps/search/?api=1&query=43.004612,-87.897396"
3,1395,214,4.83588,18.0281,"https://www.google.com/maps/search/?api=1&query=42.986585,-87.941012"
4,571,166,4.10726,12.1476,"https://www.google.com/maps/search/?api=1&query=42.998823,-87.905384"
5,201,119,5.17715,17.0495,"https://www.google.com/maps/search/?api=1&query=42.992777,-87.905679"
6,278,125,4.76758,14.7561,"https://www.google.com/maps/search/?api=1&query=42.979319,-87.892504"
7,2595,225,7.29895,19.4811,"https://www.google.com/maps/search/?api=1&query=42.936895,-87.932203"
8,45,34,5.85376,18.4551,"https://www.google.com/maps/search/?api=1&query=43.071096,-87.877631"
9,1724,227,5.9131,20.646,"https://www.google.com/maps/search/?api=1&query=43.064411,-87.878979"
10,617,182,4.91189,16.875,"https://www.google.com/maps/search/?api=1&query=43.063661,-87.886960"
11,304,139,5.56318,21.1776,"https://www.google.com/maps/search/?api=1&query=43.071197,-87.887216"
12,733,164,3.47854,11.564,"https://www.google.com/maps/search/?api=1&query=43.057595,-87.889574"
13,565,176,5.02575,17.0975,"https://www.google.com/maps/search/?api=1&query=43.053793,-87.885463"
14,425,141,5.00982,17.8686,"https://www.google.com/maps/search/?api=1&query=43.055604,-87.886564"
15,207,96,4.21772,11.8688,"https://www.google.com/maps/search/?api=1&query=43.065680,-87.897873"
16,4509,230,7.14543,49.6767,"https://www.google.com/maps/search/?api=1&query=43.115584,-87.925053"
17,185,99,3.89008,13.5416,"https://www.google.com/maps/search/?api=1&query=43.059258,-87.900663"
18,398,148,5.82695,22.6324,"https://www.google.com/maps/search/?api=1&query=43.077951,-87.888635"
19,429,121,3.38258,11.6559,"https://www.google.com/maps/search/?api=1&query=43.050156,-87.897434"
20,420,113,2.99777,11.0256,"https://www.google.com/maps/search/?api=1&query=43.054828,-87.898600"
21,264,107,5.6141,17.8911,"https://www.google.com/maps/search/?api=1&query=43.085668,-87.885749"
22,2340,226,4.47507,15.7498,"https://www.google.com/maps/search/?api=1&query=43.042187,-87.940306"
23,388,159,4.42767,14.5458,"https://www.google.com/maps/search/?api=1&query=43.036749,-87.945964"
24,210,121,4.7465,18.0802,"https://www.google.com/maps/search/?api=1&query=43.021314,-87.937531"
25,210,123,3.90221,15.088,"https://www.google.com/maps/search/?api=1&query=43.021575,-87.946899"
26,409,144,3.66834,12.7158,"https://www.google.com/maps/search/?api=1&query=43.016619,-87.947420"
27,126,59,3.16587,12.5787,"https://www.google.com/maps/search/?api=1&query=43.015554,-87.937103"
28,224,121,4.0689,13.9778,"https://www.google.com/maps/search/?api=1&query=43.009418,-87.937715"
29,249,127,4.41091,14.0838,"https://www.google.com/maps/search/?api=1&query=43.010232,-87.947230"
30,98,71,5.05753,15.3251,"https://www.google.com/maps/search/?api=1&query=43.003285,-87.948737"
31,31,25,3.93375,11.0237,"https://www.google.com/maps/search/?api=1&query=43.004785,-87.938348"
32,4169,231,5.30166,19.6901,"https://www.google.com/maps/search/?api=1&query=42.985801,-87.954042"
33,275,132,5.94488,18.6482,"https://www.google.com/maps/search/?api=1&query=42.977314,-87.940471"
34,231,104,5.3967,16.9849,"https://www.google.com/maps/search/?api=1&query=42.969568,-87.939330"
35,58,38,4.31449,14.4802,"https://www.google.com/maps/search/?api=1&query=43.053813,-87.943010"
36,0,0,0.0,0.0,"https://www.google.com/maps/search/?api=1&query=43.148667,-87.938973"
37,213,104,4.18023,17.1465,"https://www.google.com/maps/search/?api=1&query=43.053646,-87.932140"
38,101,62,4.01075,14.3891,"https://www.google.com/maps/search/?api=1&query=43.048690,-87.942844"
39,289,136,4.41682,17.6733,"https://www.google.com/maps/search/?api=1&query=43.048676,-87.932005"
40,1913,216,4.09928,15.274,"https://www.google.com/maps/search/?api=1&query=43.037146,-87.926902"
41,8034,231,4.69757,20.3636,"https://www.google.com/maps/search/?api=1&query=43.029390,-87.942179"
42,353,105,3.59727,10.773,"https://www.google.com/maps/search/?api=1&query=43.073936,-87.901361"
43,244,134,5.52147,13.9112,"https://www.google.com/maps/search/?api=1&query=43.078695,-87.900178"
44,165,83,4.31916,13.2603,"https://www.google.com/maps/search/?api=1&query=43.067478,-87.902815"
45,234,127,4.72826,16.633,"https://www.google.com/maps/search/?api=1&query=43.049196,-87.901494"
46,786,197,3.99212,15.0354,"https://www.google.com/maps/search/?api=1&query=43.048822,-87.907379"
47,2202,207,5.16684,18.8212,"https://www.google.com/maps/search/?api=1&query=43.042795,-87.900705"
48,8428,231,4.64902,19.6197,"https://www.google.com/maps/search/?api=1&query=43.042032,-87.908302"
49,8416,231,4.30079,14.7232,"https://www.google.com/maps/search/?api=1&query=43.032757,-87.907695"
50,1314,223,4.90387,16.5181,"https://www.google.com/maps/search/?api=1&query=43.016658,-87.915610"
51,582,158,3.94484,13.7755,"https://www.google.com/maps/search/?api=1&query=43.009849,-87.913568"
52,1517,214,4.43114,13.7,"https://www.google.com/maps/search/?api=1&query=43.010549,-87.922022"
53,90,49,5.71172,15.8224,"https://www.google.com/maps/search/?api=1&query=43.002259,-87.922577"
54,20,13,4.04853,8.78136,"https://www.google.com/maps/search/?api=1&query=42.995921,-87.922498"
55,28,20,4.42399,13.8744,"https://www.google.com/maps/search/?api=1&query=42.980614,-87.928158"
56,165,94,4.93162,14.3019,"https://www.google.com/maps/search/?api=1&query=42.988312,-87.922731"
57,3425,230,4.73635,15.6539,"https://www.google.com/maps/search/?api=1&query=43.022908,-87.914617"
58,360,136,3.91186,10.4432,"https://www.google.com/maps/search/?api=1&query=43.002087,-87.915329"
59,225,112,4.76129,15.8586,"https://www.google.com/maps/search/?api=1&query=42.991240,-87.893148"
60,927,200,4.88388,15.4256,"https://www.google.com/maps/search/?api=1&query=42.982858,-87.914399"
61,131,72,3.76758,10.5612,"https://www.google.com/maps/search/?api=1&query=43.074621,-87.911387"
62,25,17,4.99935,16.27,"https://www.google.com/maps/search/?api=1&query=43.067437,-87.907525"
63,108,68,3.93031,12.6424,"https://www.google.com/maps/search/?api=1&query=43.060004,-87.907587"
64,2811,229,4.64767,18.8469,"https://www.google.com/maps/search/?api=1&query=43.052582,-87.910107"
65,420,168,4.15004,14.7613,"https://www.google.com/maps/search/?api=1&query=43.059975,-87.914731"
66,259,131,4.57771,13.4593,"https://www.google.com/maps/search/?api=1&query=43.067521,-87.914950"
67,13409,231,4.91074,19.3892,"https://www.google.com/maps/search/?api=1&query=43.039480,-87.917036"
68,795,201,4.21279,16.487,"https://www.google.com/maps/search/?api=1&query=43.048395,-87.920696"
69,608,186,4.32459,16.7756,"https://www.google.com/maps/search/?api=1&query=43.054150,-87.919244"
70,1128,203,3.36841,12.1751,"https://www.google.com/maps/search/?api=1&query=43.021353,-87.927351"
71,220,91,2.73105,9.98688,"https://www.google.com/maps/search/?api=1&query=43.016782,-87.927688"
72,575,187,4.50318,15.4474,"https://www.google.com/maps/search/?api=1&query=43.010210,-87.929467"
73,311,108,3.70655,11.5996,"https://www.google.com/maps/search/?api=1&query=43.002870,-87.929876"
74,70,53,5.32443,16.4293,"https://www.google.com/maps/search/?api=1&query=42.995959,-87.929818"
75,140,92,5.06237,18.8445,"https://www.google.com/maps/search/?api=1&query=42.999572,-87.936556"
76,181,79,2.97858,10.6121,"https://www.google.com/maps/search/?api=1&query=42.988322,-87.930133"
77,201,103,5.55298,17.9522,"https://www.google.com/maps/search/?api=1&query=42.963578,-87.937600"
78,249,124,7.25164,23.2293,"https://www.google.com/maps/search/?api=1&query=42.952978,-87.944163"
79,1422,217,6.10756,17.5586,"https://www.google.com/maps/search/?api=1&query=42.952383,-87.929223"
80,3444,230,8.33374,25.2831,"https://www.google.com/maps/search/?api=1&query=42.916169,-87.915404"
81,634,177,4.89476,15.6332,"https://www.google.com/maps/search/?api=1&query=42.995913,-87.953402"
82,26,3,0.176463,0.379238,"https://www.google.com/maps/search/?api=1&query=42.967248,-87.968227"
83,167,93,4.49991,17.908,"https://www.google.com/maps/search/?api=1&query=43.048743,-87.952626"
84,204,106,4.32473,13.7748,"https://www.google.com/maps/search/?api=1&query=43.040181,-87.952633"
85,314,136,4.22237,14.2839,"https://www.google.com/maps/search/?api=1&query=43.043308,-87.952838"
86,346,145,4.80267,19.7198,"https://www.google.com/maps/search/?api=1&query=43.042357,-87.945409"
87,622,168,5.7597,18.0454,"https://www.google.com/maps/search/?api=1&query=42.963975,-87.917508"
88,255,114,3.85721,12.3584,"https://www.google.com/maps/search/?api=1&query=43.073726,-87.930050"
89,60,50,4.24174,12.4714,"https://www.google.com/maps/search/?api=1&query=43.074177,-87.920565"
90,50,43,4.08176,12.808,"https://www.google.com/maps/search/?api=1&query=43.067835,-87.923404"
91,263,122,3.60413,12.4563,"https://www.google.com/maps/search/?api=1&query=43.060498,-87.925977"
92,167,100,3.2225,11.0138,"https://www.google.com/maps/search/?api=1&query=43.074247,-87.942504"
93,67,34,2.78568,6.26317,"https://www.google.com/maps/search/?api=1&query=43.079856,-87.942551"
94,93,57,3.24441,10.7706,"https://www.google.com/maps/search/?api=1&query=43.068014,-87.929533"
95,55,38,3.07503,8.83132,"https://www.google.com/maps/search/?api=1&query=43.067764,-87.935296"
96,57,46,4.04924,12.791,"https://www.google.com/maps/search/?api=1&query=43.067824,-87.939975"
97,125,76,4.10492,15.1185,"https://www.google.com/maps/search/?api=1&query=43.067649,-87.946132"
98,286,137,4.00987,14.6647,"https://www.google.com/maps/search/?api=1&query=43.060548,-87.945846"
99,379,147,3.65648,13.4991,"https://www.google.com/maps/search/?api=1&query=43.060224,-87.937770"
100,155,103,4.70302,17.0321,"https://www.google.com/maps/search/?api=1&query=43.042633,-87.930484"
101,247,135,3.95117,14.7758,"https://www.google.com/maps/search/?api=1&query=43.042085,-87.935427"
102,152,82,5.18236,15.7304,"https://www.google.com/maps/search/?api=1&query=42.990637,-87.879932"
103,132,82,6.11387,15.5369,"https://www.google.com/maps/search/?api=1&query=42.984808,-87.879155"
104,164,91,6.45275,19.9398,"https://www.google.com/maps/search/?api=1&query=42.970006,-87.901359"
