zone_id,total_volume,number_of_destinations,avg_distance_mile,avg_travel_time_min,google_maps_link
1,528,108,4.55748,8.68427,"https://www.google.com/maps/search/?api=1&query=42.996472,-87.888534"
2,909,132,3.76632,6.83655,"https://www.google.com/maps/search/?api=1&query=43.004612,-87.897396"
3,788,137,4.55713,15.0279,"https://www.google.com/maps/search/?api=1&query=42.986585,-87.941012"
4,882,136,3.95933,8.43708,"https://www.google.com/maps/search/?api=1&query=42.998823,-87.905384"
5,484,102,3.99077,8.58097,"https://www.google.com/maps/search/?api=1&query=42.992777,-87.905679"
6,1296,144,5.56738,16.3324,"https://www.google.com/maps/search/?api=1&query=42.979319,-87.892504"
7,1389,159,7.00749,11.17,"https://www.google.com/maps/search/?api=1&query=42.936895,-87.932203"
8,668,107,3.88177,9.1233,"https://www.google.com/maps/search/?api=1&query=43.071096,-87.877631"
9,837,112,3.78705,9.3611,"https://www.google.com/maps/search/?api=1&query=43.064411,-87.878979"
10,1164,141,3.5126,15.5902,"https://www.google.com/maps/search/?api=1&query=43.063661,-87.886960"
11,780,127,3.91009,15.0787,"https://www.google.com/maps/search/?api=1&query=43.071197,-87.887216"
12,791,110,3.37389,13.7034,"https://www.google.com/maps/search/?api=1&query=43.057595,-87.889574"
13,626,97,3.63804,8.91497,"https://www.google.com/maps/search/?api=1&query=43.053793,-87.885463"
14,1040,132,3.82982,16.6507,"https://www.google.com/maps/search/?api=1&query=43.055604,-87.886564"
15,724,125,3.66144,11.1252,"https://www.google.com/maps/search/?api=1&query=43.065680,-87.897873"
16,1204,151,6.46312,15.9504,"https://www.google.com/maps/search/?api=1&query=43.115584,-87.925053"
17,934,128,3.29507,10.8362,"https://www.google.com/maps/search/?api=1&query=43.059258,-87.900663"
18,775,119,4.39192,16.879,"https://www.google.com/maps/search/?api=1&query=43.077951,-87.888635"
19,1002,125,2.79041,8.8901,"https://www.google.com/maps/search/?api=1&query=43.050156,-87.897434"
20,823,121,3.27658,9.76429,"https://www.google.com/maps/search/?api=1&query=43.054828,-87.898600"
21,580,97,5.12481,15.4157,"https://www.google.com/maps/search/?api=1&query=43.085668,-87.885749"
22,430,106,3.20897,7.8356,"https://www.google.com/maps/search/?api=1&query=43.042187,-87.940306"
23,341,109,3.27452,8.42333,"https://www.google.com/maps/search/?api=1&query=43.036749,-87.945964"
24,529,109,3.30223,7.37168,"https://www.google.com/maps/search/?api=1&query=43.021314,-87.937531"
25,666,125,3.71561,9.79274,"https://www.google.com/maps/search/?api=1&query=43.021575,-87.946899"
26,539,117,3.76877,11.7714,"https://www.google.com/maps/search/?api=1&query=43.016619,-87.947420"
27,721,133,3.94616,10.0661,"https://www.google.com/maps/search/?api=1&query=43.015554,-87.937103"
28,545,122,4.03028,10.8106,"https://www.google.com/maps/search/?api=1&query=43.009418,-87.937715"
29,886,145,4.11309,13.8783,"https://www.google.com/maps/search/?api=1&query=43.010232,-87.947230"
30,665,130,4.16006,14.7357,"https://www.google.com/maps/search/?api=1&query=43.003285,-87.948737"
31,458,120,3.68179,10.922,"https://www.google.com/maps/search/?api=1&query=43.004785,-87.938348"
32,680,127,5.03354,18.3287,"https://www.google.com/maps/search/?api=1&query=42.985801,-87.954042"
33,801,142,5.09535,13.837,"https://www.google.com/maps/search/?api=1&query=42.977314,-87.940471"
34,413,105,5.24108,12.7552,"https://www.google.com/maps/search/?api=1&query=42.969568,-87.939330"
35,422,110,3.38638,9.19472,"https://www.google.com/maps/search/?api=1&query=43.053813,-87.943010"
